Character,Words,Play
Helen,3586,AWW
Countess,2175,AWW
Diana,1024,AWW
Widow,435,AWW
Mariana,172,AWW
Cleopatra,4695,Ant
Charmian,632,Ant
Octavia,234,Ant
Iras,160,Ant
LADIES,3,Ant
Rosalind,5697,AYL
Celia,2106,AYL
Phoebe,694,AYL
Audrey,149,AYL
Adriana,2093,Err
Luciana,760,Err
Abbess,552,Err
Luce,63,Err
Volumnia,2414,Cor
Gentlewoman,9,Cor
Imogen,4417,Cym
Queen,1209,Cym
GHOSTS.Mother,62,Cym
LADIES.IMOGEN,60,Cym
LADIES.QUEEN.0.1,8,Cym
LADIES.QUEEN,6,Cym
Ophelia,1183,Ham
Gertrude,1050,Ham
LadyPercy,419,1H4
MistressQuickly,411,1H4
MistressQuickly,1425,2H4
DollTearsheet,638,2H4
LadyPercy,372,2H4
LadyNorthumberland,38,2H4
Katherine,441,H5
MistressQuickly,360,H5
QueenOfFrance,188,H5
Alice,164,H5
Pucelle,1957,1H6
Countess,350,1H6
QueenMargaret,254,1H6
QueenMargaret,2503,2H6
DuchessOfGloucester,963,2H6
SimpcoxWife,56,2H6
Jourdain,27,2H6
QueenMargaret,2246,3H6
QueenElizabeth,594,3H6
LadyBona,71,3H6
Katherine,2885,H8
OldLady,495,H8
Anne,376,H8
LADIES.KATHERINE.0.1,70,H8
LADIES.KATHERINE.Patience,35,H8
Portia,724,JC
Calphurnia,203,JC
QueenEleanor,424,Jn
LadyFaulconbridge,122,Jn
Goneril,1473,Lr
Regan,1363,Lr
Cordelia,825,Lr
Princess,2179,LLL
Rosaline,1333,LLL
Katherine,388,LLL
Maria,295,LLL
Jaquenetta,100,LLL
LadyMacbeth,1908,Mac
WITCHES.1,467,Mac
LadyMacduff,292,Mac
Hecate,263,Mac
WITCHES.3,246,Mac
WITCHES.2,242,Mac
Gentlewoman,181,Mac
Isabella,3018,MM
Mariana,484,MM
Bawd,226,MM
Nun,76,MM
Juliet,63,MM
Portia,4599,MV
Nerissa,695,MV
Jessica,660,MV
MistressPage,2528,Wiv
MistressQuickly,2200,Wiv
MistressFord,1293,Wiv
AnnePage,185,Wiv
Helena,1816,MND
Hermia,1284,MND
Titania,1080,MND
Hippolyta,250,MND
Beatrice,2359,Ado
Hero,980,Ado
Margaret,548,Ado
Ursula,362,Ado
Desdemona,2755,Oth
Emilia,1823,Oth
Bianca,270,Oth
Marina,1265,Per
Bawd,840,Per
Dionyza,677,Per
Thaisa,566,Per
Lychorida,74,Per
Diana,72,Per
Daughter,16,Per
Queen,910,R2
DuchessOfYork,734,R2
DuchessOfGloucester,457,R2
LADIES.0.1,27,R2
QueenElizabeth,2122,R3
QueenMargaret,1751,R3
LadyAnne,1242,R3
DuchessOfYork,1093,R3
ClarencesDaughter,58,R3
Juliet,4265,Rom
Nurse,2205,Rom
LadyCapulet,874,Rom
LadyMontague,28,Rom
Katherine,1761,Shr
Bianca,544,Shr
Widow,76,Shr
Hostess,26,Shr
Miranda,1014,Tmp
Timandra,44,Tim
Phrynia,33,Tim
LADIES.0.1,13,Tim
LADIES,4,Tim
Tamora,1981,Tit
Lavinia,457,Tit
Nurse,136,Tit
Cressida,2119,Tro
Cassandra,259,Tro
Helen,187,Tro
Andromache,113,Tro
Viola,2564,TN
Olivia,2311,TN
Maria,1216,TN
Julia,2430,TGV
Sylvia,1138,TGV
Lucetta,556,TGV
Emilia,2713,TNK
Daughter,2675,TNK
Hippolyta,711,TNK
QUEENS.1,520,TNK
QUEENS.2,342,TNK
QUEENS.3,323,TNK
Woman,67,TNK
COUNTRYWOMEN.0.1,4,TNK
Paulina,2390,WT
Hermione,1584,WT
Perdita,898,WT
LADIES.Emilia,142,WT
Mopsa,142,WT
Dorcas,67,WT
LADIES.0.1,49,WT
LADIES.0.2,21,WT
