Character,Words,Play
Helen,3586,AWW
Parolles,2995,AWW
King,2831,AWW
Lafew,2219,AWW
Countess,2175,AWW
Bertram,2033,AWW
Fool,1671,AWW
LORDS.DUMAINE.1,1100,AWW
Diana,1024,AWW
LORDS.DUMAINE.2,837,AWW
SOLDIERS.Interpreter,607,AWW
Widow,435,AWW
Steward,345,AWW
Mariana,172,AWW
GENTLEMEN.3,125,AWW
Duke,124,AWW
GENTLEMEN.2,79,AWW
GENTLEMEN.1,61,AWW
Epilogue,52,AWW
Servant,34,AWW
ATTENDANTS.KING.0.1,32,AWW
ATTENDANTS.KING.0.2,29,AWW
LORDS.COURT.4,14,AWW
SOLDIERS.0.1,14,AWW
LORDS.COURT.2,13,AWW
LORDS.COURT.1,11,AWW
LORDS.COURT.3,8,AWW
Page,7,AWW
SOLDIERS,7,AWW
Antony,5998,Ant
Cleopatra,4695,Ant
Octavius,2889,Ant
Enobarbus,2436,Ant
Pompey,931,Ant
Charmian,632,Ant
Menas,459,Ant
Lepidus,411,Ant
Agrippa,376,Ant
Dolabella,286,Ant
Eros,284,Ant
Scarus,267,Ant
Maecenas,255,Ant
Countryman,252,Ant
Octavia,234,Ant
MESSENGERS.X.2,224,Ant
Ventidius,220,Ant
Proculeius,211,Ant
Soothsayer,209,Ant
Alexas,207,Ant
Thidias,182,Ant
Canidius,165,Ant
Iras,160,Ant
GUARDS.Dercetus,159,Ant
Diomedes,128,Ant
Philo,125,Ant
Mardian,118,Ant
Ambassador,107,Ant
WATCHMEN.Sentry,91,Ant
SOLDIERS.ANTONY.X.1,87,Ant
GUARDS.CAESAR.0.1,86,Ant
MESSENGERS.ANTONY.1,83,Ant
SOLDIERS.ANTONY.0.1,79,Ant
SOLDIERS.ANTONY.0.2,77,Ant
SERVANTS.0.1,69,Ant
MESSENGERS.CAESAR.2,67,Ant
Silius,67,Ant
SOLDIERS.ANTONY.X.3,63,Ant
SOLDIERS.CAESAR.X.1,62,Ant
SERVANTS.0.2,61,Ant
MESSENGERS.CAESAR.1,49,Ant
Boy,39,Ant
Egyptian,37,Ant
GUARDS.0.1,36,Ant
Demetrius,35,Ant
SOLDIERS.ANTONY.0.3,29,Ant
Varrius,27,Ant
Seleucus,26,Ant
WATCHMEN.2,26,Ant
WATCHMEN.1,25,Ant
CAPTAINS.0.1,24,Ant
Gallus,24,Ant
MESSENGERS.ANTONY.3,22,Ant
GUARDS.CAESAR.1,21,Ant
SOLDIERS.ANTONY.0.4,20,Ant
SOLDIERS.ANTONY.X.2,18,Ant
CAPTAINS,17,Ant
GUARDS.0.2,15,Ant
SOLDIERS.ANTONY,14,Ant
MESSENGERS.X.3,13,Ant
ATTENDANTS.CAESAR,11,Ant
GUARDS.0.3,11,Ant
GUARDS.CAESAR.0.2,9,Ant
GUARDS,9,Ant
MESSENGERS.ANTONY.2,9,Ant
SERVANTS.X.2,7,Ant
MESSENGERS.X.1,6,Ant
MESSENGERS.X.5,6,Ant
MESSENGERS.X.4,4,Ant
SERVANTS.X.1,4,Ant
ATTENDANTS.ANTONY,3,Ant
LADIES,3,Ant
SERVANTS,3,Ant
Taurus,2,Ant
Rosalind,5697,AYL
Touchstone,2374,AYL
Orlando,2370,AYL
Celia,2106,AYL
Jaques,1769,AYL
Oliver,1164,AYL
DukeSenior,808,AYL
Phoebe,694,AYL
Corin,549,AYL
Silvius,540,AYL
DukeFrederick,529,AYL
Adam,513,AYL
Charles,375,AYL
LORDS.FREDERICK.LeBeau,371,AYL
LORDS.SENIOR.0.1,359,AYL
LORDS.SENIOR.Amiens,278,AYL
SERVANTS.1,213,AYL
SERVANTS.2,196,AYL
Audrey,149,AYL
Hymen,134,AYL
SecondBrother,128,AYL
LORDS.SENIOR.0.2,71,AYL
LORDS.FREDERICK.0.2,63,AYL
William,41,AYL
LORDS.SENIOR,39,AYL
OliverMartext,36,AYL
LORDS.FREDERICK.0.1,32,AYL
Dennis,17,AYL
Adriana,2093,Err
AntipholusOfSyracuse,2083,Err
DromioOfSyracuse,2075,Err
AntipholusOfEphesus,1745,Err
DromioOfEphesus,1356,Err
Egeon,1097,Err
Luciana,760,Err
Duke,693,Err
Angelo,634,Err
Abbess,552,Err
Courtesan,293,Err
Merchant2,268,Err
Balthasar,202,Err
Messenger,130,Err
Merchant1,114,Err
Pinch,103,Err
OFFICERS.X,95,Err
Luce,63,Err
OFFICERS.Jailer,4,Err
Coriolanus,6481,Cor
Menenius,4288,Cor
Volumnia,2414,Cor
Aufidius,2034,Cor
TRIBUNES.Sicinius,1927,Cor
Cominius,1919,Cor
TRIBUNES.Brutus,1603,Cor
CITIZENS.ROMAN.0.1,477,Cor
CITIZENS.ROMAN.3,461,Cor
CITIZENS.ROMAN.0.2,460,Cor
SERVANTS.3,397,Cor
Lartius,394,Cor
Valeria,355,Cor
SENATORS.ROMAN.0.1,278,Cor
SERVANTS.2,267,Cor
WATCHMEN.1,252,Cor
SERVANTS.1,248,Cor
Virgilia,238,Cor
Nicanor,234,Cor
CITIZENS.ROMAN.0.3,186,Cor
OFFICERS.2,186,Cor
Adrian,160,Cor
