,Characters,Lines
0,LEONTES,693
1,PAULINA,340
2,CAMILLO,299
3,AUTOLYCUS,294
4,POLIXENES,273
5,HERMIONE,211
6,FLORIZEL,206
7,Clown,184
8,Shepherd,134
9,PERDITA,131
10,ANTIGONUS,112
11,Third Gentleman,66
12,Servant,45
13,First Lord,36
14,Time,33
15,DION,28
16,Officer,27
17,First Gentleman,26
18,Lord,24
19,CLEOMENES,23
20,MAMILLIUS,22
21,ARCHIDAMUS,22
22,EMILIA,21
23,MOPSA,20
24,Gentleman,18
25,Second Gentleman,17
26,Gaoler,13
27,DORCAS,12
28,Mariner,11
29,First Lady,9
30,Second Lady,4
31,Lords,3
32,First Servant,3
33,Second Servant,2
34,Shepard,2
