,Characters,Lines
0,MARK ANTONY,849
1,CLEOPATRA,689
2,OCTAVIUS CAESAR,418
3,DOMITIUS ENOBARBUS,356
4,POMPEY,140
5,CHARMIAN,105
6,Messenger,78
7,LEPIDUS,68
8,MENAS,64
9,AGRIPPA,61
10,DOLABELLA,50
11,EROS,47
12,SCARUS,40
13,Soldier,38
14,MECAENAS,36
15,OCTAVIA,36
16,PROCULEIUS,32
17,Soothsayer,31
18,ALEXAS,31
19,THYREUS,31
20,VENTIDIUS,30
21,Clown,28
22,First Soldier,26
23,CANIDIUS,25
24,IRAS,25
25,DERCETAS,21
26,DIOMEDES,19
27,First Guard,19
28,MARDIAN,19
29,PHILO,17
30,EUPHRONIUS,16
31,Second Soldier,14
32,Third Soldier,13
33,SILIUS,12
34,All,10
35,First Servant,9
36,Second Servant,7
37,MENECRATES,6
38,Egyptian,6
39,SELEUCUS,5
40,DEMETRIUS,5
41,Fourth Soldier,5
42,Second Messenger,4
43,Guard,4
44,VARRIUS,4
45,Second Guard,4
46,First Attendant,3
47,Attendant,2
48,GALLUS,2
49,Third Guard,1
50,Attendants,1
51,Second Attendant,1
52,TAURUS,1
53,Captain,1
