,Characters,Lines
0,CORIOLANUS,681
1,MENENIUS,589
2,VOLUMNIA,314
3,SICINIUS,306
4,COMINIUS,287
5,AUFIDIUS,276
6,BRUTUS,247
7,MARCIUS,220
8,First Senator,90
9,First Citizen,79
10,Third Citizen,57
11,LARTIUS,54
12,Third Servingman,49
13,VALERIA,41
14,Messenger,38
15,Second Servingman,35
16,VIRGILIA,35
17,Roman,29
18,First Servingman,29
19,Second Citizen,25
20,Citizens,24
21,Second Officer,22
22,Second Messenger,21
23,Second Senator,20
24,Volsce,20
25,All,17
26,AEdile,16
27,First Officer,15
28,First Lord,13
29,Lieutenant,12
30,Third Conspirator,12
31,First Soldier,11
32,Second Lord,9
33,First Conspirator,8
34,Second Conspirator,7
35,Herald,6
36,Fourth Citizen,6
37,TITUS,5
38,Both Tribunes,4
39,Citizen,4
40,Both,3
41,All Conspirators,3
42,All The People,3
43,A Patrician,3
44,Young MARCIUS,2
45,Lords,2
46,Third Lord,2
47,Seventh Citizen,2
48,Sixth Citizen,2
49,Fifth Citizen,2
50,Second Patrician,1
51,All Citizens,1
52,Both Citizens,1
53,Officer,1
54,All The Lords,1
55,Third Roman,1
56,Second Roman,1
57,First Roman,1
58,Second Soldier,1
59,Gentlewoman,1
60,Senators,1
