,Characters,Lines
0,IMOGEN,605
1,IACHIMO,430
2,POSTHUMUS LEONATUS,415
3,BELARIUS,346
4,CYMBELINE,297
5,CLOTEN,270
6,PISANIO,218
7,QUEEN,171
8,GUIDERIUS,165
9,ARVIRAGUS,146
10,CAIUS LUCIUS,105
11,CORNELIUS,74
12,First Gentleman,67
13,Second Lord,47
14,First Gaoler,45
15,Soothsayer,43
16,PHILARIO,42
17,Sicilius Leonatus,40
18,First Lord,39
19,Posthumus Leonatus,28
20,Frenchman,22
21,Jupiter,21
22,First Senator,15
23,Second Gentleman,13
24,Lady,13
25,First Brother,12
26,Mother,12
27,Captain,11
28,Second Brother,9
29,Second Captain,9
30,Lord,7
31,First Captain,4
32,Attendant,3
33,Messenger,3
34,First Tribune,3
35,First Lady,2
36,Lords,1
37,Second Gaoler,1
38,Second Senator,1
39,All,1
