,Characters,Lines
0,HAMLET,1503
1,KING CLAUDIUS,546
2,LORD POLONIUS,355
3,HORATIO,289
4,LAERTES,207
5,OPHELIA,173
6,QUEEN GERTRUDE,157
7,Ghost,95
8,First Clown,94
9,ROSENCRANTZ,93
10,MARCELLUS,62
11,First Player,52
12,GUILDENSTERN,52
13,OSRIC,48
14,Player King,44
15,BERNARDO,38
16,Player Queen,30
17,PRINCE FORTINBRAS,28
18,Gentleman,24
19,VOLTIMAND,22
20,Second Clown,18
21,REYNALDO,15
22,First Priest,13
23,Captain,12
24,FRANCISCO,10
25,Lord,7
26,First Ambassador,6
27,LUCIANUS,6
28,Messenger,5
29,First Sailor,5
30,All,4
31,Danes,3
32,Prologue,3
33,Servant,1
