,Characters,Lines
0,FALSTAFF,617
1,HOTSPUR,562
2,PRINCE HENRY,554
3,KING HENRY IV,341
4,EARL OF WORCESTER,188
5,POINS,80
6,GLENDOWER,79
7,VERNON,66
8,MORTIMER,60
9,LADY PERCY,57
10,Hostess,49
11,EARL OF DOUGLAS,46
12,GADSHILL,44
13,SIR WALTER BLUNT,41
14,WESTMORELAND,41
15,ARCHBISHOP OF YORK,34
16,BARDOLPH,28
17,NORTHUMBERLAND,26
18,First Carrier,20
19,Chamberlain,17
20,PETO,16
21,Second Carrier,16
22,FRANCIS,15
23,Messenger,8
24,SIR MICHAEL,8
25,LANCASTER,8
26,Sheriff,8
27,Vintner,4
28,Servant,3
29,Travellers,2
30,First Traveller,2
31,Carrier,1
32,WORCESTER,1
33,Ostler,1
34,Thieves,1
