,Characters,Lines
0,YORK,386
1,KING HENRY VI,317
2,QUEEN MARGARET,317
3,GLOUCESTER,309
4,SUFFOLK,297
5,CADE,242
6,WARWICK,131
7,DUCHESS,119
8,CARDINAL,108
9,SALISBURY,95
10,BUCKINGHAM,76
11,Captain,64
12,CLIFFORD,56
13,IDEN,51
14,SAY,48
15,YOUNG CLIFFORD,46
16,DICK,36
17,Messenger,31
18,HUME,31
19,PETER,25
20,SOMERSET,25
21,SIMPCOX,25
22,BOLINGBROKE,24
23,RICHARD,24
24,HORNER,23
25,WHITMORE,19
26,HOLLAND,18
27,SIR HUMPHREY,16
28,SMITH,15
29,ALL,14
30,BEVIS,14
31,VAUX,11
32,Spirit,9
33,First Petitioner,8
34,Wife,8
35,SCALES,8
36,First Gentleman,7
37,STANLEY,7
38,WILLIAM STAFFORD,7
39,Post,6
40,Second Petitioner,5
41,Townsman,4
42,First Citizen,4
43,MARGARET JOURDAIN,4
44,First Murderer,4
45,Sheriff,4
46,MICHAEL,4
47,Commons,3
48,CLERK,2
49,Mayor,2
50,First Neighbour,2
51,Beadle,2
52,Third Neighbour,2
53,Master,2
54,Second Murderer,2
55,Herald,2
56,Clerk,1
57,BOTH,1
58,Second Neighbour,1
59,Servants,1
60,Second Gentleman,1
61,Soldier,1
62,Servant,1
63,First Murder,1
64,EDWARD,1
