,Characters,Lines
0,KING HENRY VIII,479
1,CARDINAL WOLSEY,439
2,QUEEN KATHARINE,277
3,NORFOLK,213
4,BUCKINGHAM,192
5,Chamberlain,151
6,CRANMER,136
7,Second Gentleman,115
8,KATHARINE,114
9,First Gentleman,108
10,SUFFOLK,93
11,GARDINER,92
12,SURREY,82
13,LOVELL,68
14,Old Lady,65
15,ANNE,62
16,Surveyor,61
17,GRIFFITH,60
18,Third Gentleman,57
19,CARDINAL CAMPEIUS,53
20,CROMWELL,50
21,SANDS,48
22,Man,41
23,Porter,36
24,Chorus,34
25,Chancellor,32
26,ABERGAVENNY,18
27,BRANDON,14
28,CAPUCIUS,11
29,DOCTOR BUTTS,9
30,GUILDFORD,9
31,LINCOLN,8
32,Keeper,7
33,PATIENCE,6
34,Sergeant,5
35,DENNY,4
36,Crier,4
37,Messenger,4
38,Servant,4
39,VAUX,4
40,Gentleman,4
41,Garter,3
42,Scribe,2
43,First Secretary,2
44,Boy,1
45,Both,1
46,All,1
