,Characters,Lines
0,BRUTUS,729
1,CASSIUS,525
2,ANTONY,329
3,CAESAR,135
4,CASCA,133
5,PORTIA,92
6,OCTAVIUS,46
7,DECIUS BRUTUS,44
8,MESSALA,39
9,LUCIUS,33
10,TITINIUS,31
11,MARULLUS,31
12,Servant,30
13,CALPURNIA,27
14,LUCILIUS,26
15,FLAVIUS,26
16,Third Citizen,22
17,First Citizen,22
18,Second Citizen,21
19,Fourth Citizen,20
20,ARTEMIDORUS,19
21,Soothsayer,18
22,CINNA,18
23,PINDARUS,17
24,METELLUS CIMBER,17
25,Second Commoner,16
26,LIGARIUS,15
27,CINNA THE POET,14
28,All,10
29,CLITUS,10
30,CICERO,9
31,TREBONIUS,9
32,CATO,8
33,Poet,7
34,STRATO,7
35,First Soldier,5
36,VARRO,4
37,CLAUDIUS,4
38,Messenger,4
39,LEPIDUS,4
40,GHOST,3
41,DARDANIUS,3
42,VOLUMNIUS,3
43,PUBLIUS,2
44,Second Soldier,2
45,Citizens,2
46,POPILIUS,2
47,Several Citizens,2
48,Third Soldier,1
49,First Commoner,1
