,Characters,Lines
0,MACBETH,718
1,LADY MACBETH,265
2,MALCOLM,212
3,MACDUFF,180
4,ROSS,135
5,BANQUO,113
6,LENNOX,74
7,DUNCAN,70
8,First Witch,63
9,Porter,46
10,Doctor,45
11,LADY MACDUFF,41
12,HECATE,41
13,Sergeant,35
14,SIWARD,30
15,First Murderer,30
16,Third Witch,27
17,Second Witch,27
18,ALL,26
19,Messenger,23
20,Gentlewoman,23
21,Lord,21
22,ANGUS,21
23,Son,20
24,Second Murderer,15
25,MENTEITH,12
26,CAITHNESS,11
27,Old Man,11
28,DONALBAIN,10
29,Third Murderer,8
30,YOUNG SIWARD,7
31,Third Apparition,5
32,Servant,5
33,SEYTON,5
34,Second Apparition,4
35,Lords,3
36,FLEANCE,2
37,Both Murderers,2
38,First Apparition,2
39,ATTENDANT,1
40,Soldiers,1
