,Characters,Lines
0,PERICLES,611
1,GOWER,281
2,MARINA,186
3,SIMONIDES,157
4,HELICANUS,123
5,CLEON,110
6,CERIMON,109
7,LYSIMACHUS,103
8,Bawd,99
9,DIONYZA,90
10,THAISA,82
11,BOULT,79
12,ANTIOCHUS,69
13,LODOVICO,42
14,First Fisherman,38
15,Second Fisherman,28
16,Pandar,28
17,THALIARD,27
18,First Lord,26
19,First Gentleman,24
20,LEONINE,24
21,Second Gentleman,18
22,Third Fisherman,18
23,LYCHORIDA,11
24,Second Lord,11
25,Tyrian Sailor,10
26,DIANA,10
27,First Sailor,9
28,Lord,7
29,Second Sailor,6
30,First Servant,6
31,First Knight,4
32,All,3
33,Third Lord,3
34,ESCANES,2
35,Third Pirate,2
36,Daughter,2
37,Servant,2
38,KNIGHTS,2
39,First Pirate,2
40,Messenger,1
41,BOTH,1
42,Second Pirate,1
43,Third Knight,1
44,Knights,1
45,PHILEMON,1
46,Second Knight,1
47,Marshal,1
