,Characters,Lines
0,KING RICHARD II,758
1,HENRY BOLINGBROKE,413
2,DUKE OF YORK,290
3,JOHN OF GAUNT,191
4,NORTHUMBERLAND,142
5,THOMAS MOWBRAY,135
6,QUEEN,115
7,DUCHESS OF YORK,94
8,DUKE OF AUMERLE,85
9,BISHOP OF CARLISLE,63
10,DUCHESS,58
11,Gardener,46
12,HENRY PERCY,45
13,BUSHY,39
14,SIR STEPHEN SCROOP,37
15,GREEN,32
16,LORD FITZWATER,27
17,Lord Marshal,25
18,BAGOT,22
19,LORD ROSS,22
20,EXTON,21
21,EARL OF SALISBURY,20
22,Servant,17
23,Captain,15
24,LORD WILLOUGHBY,12
25,Groom,12
26,Abbot,10
27,DUKE OF SURREY,10
28,LORD BERKELEY,8
29,Second Herald,7
30,First Herald,6
31,GARDENER,6
32,Lady,6
33,Lord,5
34,Keeper,5
35,All,1
