,Characters,Lines
0,GLOUCESTER,699
1,KING RICHARD III,474
2,BUCKINGHAM,365
3,QUEEN ELIZABETH,275
4,QUEEN MARGARET,218
5,CLARENCE,163
6,LADY ANNE,158
7,HASTINGS,144
8,DUCHESS OF YORK,142
9,RICHMOND,137
10,KING EDWARD IV,65
11,CATESBY,63
12,First Murderer,58
13,Second Murderer,57
14,DERBY,57
15,RIVERS,51
16,PRINCE EDWARD,43
17,YORK,40
18,BRAKENBURY,39
19,TYRREL,38
20,RATCLIFF,30
21,STANLEY,30
22,Messenger,30
23,Third Citizen,28
24,DORSET,20
25,Boy,19
26,Lord Mayor,16
27,Scrivener,14
28,LORD STANLEY,14
29,Second Citizen,13
30,ARCHBISHOP OF YORK,12
31,of BUCKINGHAM,11
32,GREY,10
33,Fourth Messenger,10
34,NORFOLK,10
35,Ghost of LADY ANNE,10
36,Ghost of CLARENCE,9
37,of young Princes,9
38,CARDINAL,9
39,of Prince Edward,8
40,CHRISTOPHER,8
41,First Citizen,8
42,BLUNT,8
43,of King Henry VI,8
44,BISHOP OF ELY,7
45,Ghost of HASTINGS,7
46,Third Messenger,7
47,Page,6
48,Girl,6
49,Ghost of VAUGHAN,3
50,All,3
51,Ghost of RIVERS,3
52,Pursuivant,3
53,LORDS,3
54,LOVEL,3
55,Both,3
56,Children,3
57,Second Messenger,3
58,Ghost of GREY,2
59,OXFORD,2
60,Sheriff,2
61,ANOTHER,1
62,HERBERT,1
63,Citizens,1
64,Priest,1
65,SURREY,1
66,Second murderer,1
67,GENTLEMEN,1
68,Gentleman,1
69,VAUGHAN,1
