,Characters,Lines
0,ROMEO,613
1,JULIET,544
2,FRIAR LAURENCE,351
3,CAPULET,273
4,Nurse,272
5,MERCUTIO,261
6,BENVOLIO,160
7,LADY CAPULET,113
8,PRINCE,76
9,PARIS,70
10,MONTAGUE,41
11,TYBALT,36
12,PETER,33
13,BALTHASAR,32
14,SAMPSON,31
15,Servant,23
16,GREGORY,20
17,First Watchman,19
18,RICHMOND,15
19,Chorus,14
20,FRIAR JOHN,13
21,Second Servant,12
22,First Servant,10
23,NURSE,9
24,First Musician,9
25,PAGE,9
26,Apothecary,7
27,First Citizen,7
28,ABRAHAM,5
29,Second Musician,4
30,Second Capulet,3
31,LADY MONTAGUE,3
32,Third Watchman,3
33,LADY  CAPULET,2
34,Musician,1
35,Third Musician,1
36,Second Watchman,1
