,Characters,Lines
0,PETRUCHIO,588
1,TRANIO,293
2,KATHARINA,216
3,HORTENSIO,206
4,LUCENTIO,190
5,BAPTISTA,176
6,GRUMIO,170
7,GREMIO,169
8,Lord,138
9,BIONDELLO,102
10,BIANCA,71
11,SLY,63
12,Pedant,50
13,VINCENTIO,47
14,CURTIS,25
15,Tailor,17
16,Page,16
17,First Servant,16
18,Third Servant,12
19,Second Servant,12
20,Widow,11
21,First Huntsman,9
22,Messenger,8
23,Servant,5
24,NATHANIEL,4
25,A Player,4
26,Hostess,4
27,Second Huntsman,3
28,KATARINA,3
29,PETER,2
30,Players,1
31,HORTENSIA,1
32,PHILIP,1
33,JOSEPH,1
34,NICHOLAS,1
35,Haberdasher,1
36,ALL,1
