,Characters,Lines
0,TIMON,824
1,FLAVIUS,257
2,APEMANTUS,248
3,ALCIBIADES,163
4,Poet,104
5,First Senator,90
6,Painter,67
7,Second Senator,62
8,LUCILIUS,45
9,First Lord,43
10,Second Lord,43
11,Senator,35
12,LUCULLUS,33
13,First Stranger,31
14,FLAMINIUS,31
15,CAPHIS,31
16,Servant,30
17,Old Athenian,29
18,SEMPRONIUS,27
19,Fool,24
20,SERVILIUS,21
21,HORTENSIUS,20
22,Messenger,20
23,TITUS,19
24,First Servant,18
25,Second Servant,17
26,PHILOTUS,16
27,Soldier,15
28,Merchant,13
29,Third Lord,12
30,First Bandit,11
31,Third Servant,10
32,VENTIDIUS,9
33,Jeweller,8
34,Both,8
35,TIMANDRA,8
36,Page,7
37,Cupid,6
38,All Servants,6
39,Third Bandit,6
40,Second Stranger,6
41,Third Senator,5
42,Banditti,4
43,Second Bandit,4
44,Fourth Lord,3
45,PROSPERO,2
46,Some Others,1
47,PHRYNIA,1
48,Some Speak,1
49,All Lords,1
50,All,1
51,Servants,1
52,Third Stranger,1
53,All Ladies,1
54,First Lady,1
